Tanggal,Waktu Perkiraan,Kondisi Cuaca,Suhu,Intensitas Hujan,Kecepatan dan Arah Angin
27 Nov,18:00 WIB,Hujan Ringan,27°C,84 %,1 km/jam
27 Nov,19:00 WIB,Hujan Ringan,27°C,85 %,1 km/jam
27 Nov,20:00 WIB,Hujan Ringan,27°C,87 %,1 km/jam
27 Nov,21:00 WIB,Hujan Ringan,27°C,87 %,1 km/jam
27 Nov,22:00 WIB,Hujan Ringan,27°C,88 %,1 km/jam
27 Nov,23:00 WIB,Berawan Tebal,26°C,89 %,2 km/jam
28 Nov,00:00 WIB,Berawan,26°C,91 %,2 km/jam
28 Nov,01:00 WIB,Berawan Tebal,26°C,91 %,2 km/jam
28 Nov,02:00 WIB,Berawan,26°C,92 %,2 km/jam
28 Nov,03:00 WIB,Berawan Tebal,25°C,91 %,2 km/jam
28 Nov,04:00 WIB,Berawan Tebal,25°C,93 %,2 km/jam
28 Nov,05:00 WIB,Berawan Tebal,25°C,94 %,3 km/jam
28 Nov,06:00 WIB,Berawan Tebal,25°C,93 %,3 km/jam
28 Nov,07:00 WIB,Berawan Tebal,26°C,89 %,3 km/jam
28 Nov,10:00 WIB,Berawan Tebal,28°C,76 %,3 km/jam
28 Nov,13:00 WIB,Berawan Tebal,30°C,70 %,3 km/jam
28 Nov,16:00 WIB,Berawan Tebal,29°C,73 %,3 km/jam
28 Nov,19:00 WIB,Berawan Tebal,28°C,80 %,1 km/jam
28 Nov,22:00 WIB,Berawan Tebal,27°C,84 %,1 km/jam
29 Nov,01:00 WIB,Berawan,26°C,93 %,1 km/jam
29 Nov,04:00 WIB,Berawan Tebal,25°C,93 %,1 km/jam
29 Nov,07:00 WIB,Berawan,26°C,90 %,1 km/jam
29 Nov,10:00 WIB,Berawan Tebal,30°C,74 %,1 km/jam
29 Nov,13:00 WIB,Berawan Tebal,30°C,72 %,1 km/jam
29 Nov,16:00 WIB,Berawan Tebal,29°C,74 %,9 km/jam
29 Nov,19:00 WIB,Berawan,27°C,82 %,9 km/jam
29 Nov,22:00 WIB,Cerah Berawan,26°C,86 %,9 km/jam
30 Nov,01:00 WIB,Berawan,25°C,89 %,9 km/jam
30 Nov,04:00 WIB,Berawan Tebal,25°C,88 %,2 km/jam
30 Nov,07:00 WIB,Berawan Tebal,26°C,83 %,2 km/jam
30 Nov,10:00 WIB,Berawan Tebal,31°C,66 %,2 km/jam
30 Nov,13:00 WIB,Berawan Tebal,31°C,65 %,2 km/jam
30 Nov,16:00 WIB,Berawan Tebal,30°C,68 %,8 km/jam
30 Nov,19:00 WIB,Berawan Tebal,28°C,81 %,8 km/jam
30 Nov,22:00 WIB,Berawan Tebal,28°C,81 %,8 km/jam
01 Des,01:00 WIB,Berawan Tebal,26°C,87 %,8 km/jam
01 Des,04:00 WIB,Berawan Tebal,26°C,87 %,6 km/jam
01 Des,07:00 WIB,Berawan Tebal,26°C,85 %,6 km/jam
01 Des,10:00 WIB,Berawan Tebal,26°C,85 %,6 km/jam
01 Des,13:00 WIB,Berawan Tebal,28°C,81 %,6 km/jam
01 Des,16:00 WIB,Berawan Tebal,28°C,81 %,7 km/jam
01 Des,19:00 WIB,Berawan Tebal,27°C,85 %,7 km/jam
01 Des,22:00 WIB,Berawan Tebal,27°C,85 %,7 km/jam
02 Des,01:00 WIB,Berawan Tebal,25°C,92 %,7 km/jam
02 Des,04:00 WIB,Berawan Tebal,25°C,92 %,2 km/jam
02 Des,07:00 WIB,Berawan Tebal,25°C,91 %,2 km/jam
02 Des,13:00 WIB,Berawan Tebal,28°C,78 %,2 km/jam
02 Des,19:00 WIB,Berawan Tebal,26°C,91 %,0 km/jam
03 Des,01:00 WIB,Berawan Tebal,25°C,94 %,0 km/jam
03 Des,07:00 WIB,Berawan Tebal,25°C,93 %,2 km/jam
03 Des,13:00 WIB,Berawan Tebal,31°C,64 %,2 km/jam
03 Des,19:00 WIB,Berawan Tebal,28°C,81 %,5 km/jam
04 Des,01:00 WIB,Berawan Tebal,25°C,88 %,5 km/jam
04 Des,07:00 WIB,Berawan Tebal,26°C,87 %,7 km/jam
04 Des,13:00 WIB,Berawan Tebal,28°C,78 %,7 km/jam
04 Des,19:00 WIB,Berawan Tebal,27°C,84 %,10 km/jam
